near_dte,far_dte,target_delta,profit_target,stop_loss,vix_min,vix_max,dte_exit,initial_capital,final_value,total_pnl,total_return_pct,annualized_return_pct,sharpe_ratio,sortino_ratio,max_drawdown_pct,calmar_ratio,volatility_pct,total_trades,winning_trades,losing_trades,win_rate_pct,avg_win,avg_loss,largest_win,largest_loss,profit_factor,avg_days_in_trade,positive_months,total_months,positive_months_pct,best_month_pct,worst_month_pct,avg_monthly_return_pct,below_min_trades,stability_score,stability_n
28,42,0.45,0.1,-0.5,5,60,11,20000,437842.6611010305,417842.6611010305,2089.213305505152,67.82960503184418,1.888879883932974,2.0797644929578314,-42.142792755134806,1.6095185106966983,28.566398488637716,391,331,60,84.65473145780051,2467.1739458179422,-6079.381651012607,22385.44720504905,-88457.7295680049,2.238809314676811,10.19693094629156,48,71,67.6056338028169,32.054514058977254,-19.427608175472667,4.835648884473727,,1.138041790327345,502
28,42,0.45,0.1,-0.5,5,60,11,20000,437842.6611010305,417842.6611010305,2089.213305505152,67.82960503184418,1.888879883932974,2.0797644929578314,-42.142792755134806,1.6095185106966983,28.566398488637716,391,331,60,84.65473145780051,2467.1739458179422,-6079.381651012607,22385.44720504905,-88457.7295680049,2.238809314676811,10.19693094629156,48,71,67.6056338028169,32.054514058977254,-19.427608175472667,4.835648884473727,,1.138041790327345,502
28,42,0.45,0.1,-0.5,5,60,11,20000,437842.6611010305,417842.6611010305,2089.213305505152,67.82960503184418,1.888879883932974,2.0797644929578314,-42.142792755134806,1.6095185106966983,28.566398488637716,391,331,60,84.65473145780051,2467.1739458179422,-6079.381651012607,22385.44720504905,-88457.7295680049,2.238809314676811,10.19693094629156,48,71,67.6056338028169,32.054514058977254,-19.427608175472667,4.835648884473727,,1.138041790327345,502
28,42,0.45,0.1,-0.5,5,50,11,20000,437842.6611010305,417842.6611010305,2089.213305505152,67.82960503184418,1.888879883932974,2.0797644929578314,-42.142792755134806,1.6095185106966983,28.566398488637716,391,331,60,84.65473145780051,2467.1739458179422,-6079.381651012607,22385.44720504905,-88457.7295680049,2.238809314676811,10.19693094629156,48,71,67.6056338028169,32.054514058977254,-19.427608175472667,4.835648884473727,,1.1307849461360011,364
28,42,0.45,0.1,-0.5,5,60,11,20000,437842.6611010305,417842.6611010305,2089.213305505152,67.82960503184418,1.888879883932974,2.0797644929578314,-42.142792755134806,1.6095185106966983,28.566398488637716,391,331,60,84.65473145780051,2467.1739458179422,-6079.381651012607,22385.44720504905,-88457.7295680049,2.238809314676811,10.19693094629156,48,71,67.6056338028169,32.054514058977254,-19.427608175472667,4.835648884473727,,1.138041790327345,502
28,42,0.45,0.1,-0.5,5,60,11,20000,437842.6611010305,417842.6611010305,2089.213305505152,67.82960503184418,1.888879883932974,2.0797644929578314,-42.142792755134806,1.6095185106966983,28.566398488637716,391,331,60,84.65473145780051,2467.1739458179422,-6079.381651012607,22385.44720504905,-88457.7295680049,2.238809314676811,10.19693094629156,48,71,67.6056338028169,32.054514058977254,-19.427608175472667,4.835648884473727,,1.138041790327345,502
28,42,0.45,0.1,-0.5,5,60,11,20000,437842.6611010305,417842.6611010305,2089.213305505152,67.82960503184418,1.888879883932974,2.0797644929578314,-42.142792755134806,1.6095185106966983,28.566398488637716,391,331,60,84.65473145780051,2467.1739458179422,-6079.381651012607,22385.44720504905,-88457.7295680049,2.238809314676811,10.19693094629156,48,71,67.6056338028169,32.054514058977254,-19.427608175472667,4.835648884473727,,1.138041790327345,502
28,42,0.45,0.1,-0.5,5,50,11,20000,437842.6611010305,417842.6611010305,2089.213305505152,67.82960503184418,1.888879883932974,2.0797644929578314,-42.142792755134806,1.6095185106966983,28.566398488637716,391,331,60,84.65473145780051,2467.1739458179422,-6079.381651012607,22385.44720504905,-88457.7295680049,2.238809314676811,10.19693094629156,48,71,67.6056338028169,32.054514058977254,-19.427608175472667,4.835648884473727,,1.1307849461360011,364
28,42,0.45,0.1,-0.5,5,60,11,20000,437842.6611010305,417842.6611010305,2089.213305505152,67.82960503184418,1.888879883932974,2.0797644929578314,-42.142792755134806,1.6095185106966983,28.566398488637716,391,331,60,84.65473145780051,2467.1739458179422,-6079.381651012607,22385.44720504905,-88457.7295680049,2.238809314676811,10.19693094629156,48,71,67.6056338028169,32.054514058977254,-19.427608175472667,4.835648884473727,,1.138041790327345,502
28,42,0.45,0.1,-0.5,5,55,11,20000,437842.6611010305,417842.6611010305,2089.213305505152,67.82960503184418,1.888879883932974,2.0797644929578314,-42.142792755134806,1.6095185106966983,28.566398488637716,391,331,60,84.65473145780051,2467.1739458179422,-6079.381651012607,22385.44720504905,-88457.7295680049,2.238809314676811,10.19693094629156,48,71,67.6056338028169,32.054514058977254,-19.427608175472667,4.835648884473727,,1.1300325495188037,657
28,42,0.45,0.1,-0.5,5,60,11,20000,437842.6611010305,417842.6611010305,2089.213305505152,67.82960503184418,1.888879883932974,2.0797644929578314,-42.142792755134806,1.6095185106966983,28.566398488637716,391,331,60,84.65473145780051,2467.1739458179422,-6079.381651012607,22385.44720504905,-88457.7295680049,2.238809314676811,10.19693094629156,48,71,67.6056338028169,32.054514058977254,-19.427608175472667,4.835648884473727,,1.138041790327345,502
28,42,0.45,0.1,-0.5,5,55,11,20000,437842.6611010305,417842.6611010305,2089.213305505152,67.82960503184418,1.888879883932974,2.0797644929578314,-42.142792755134806,1.6095185106966983,28.566398488637716,391,331,60,84.65473145780051,2467.1739458179422,-6079.381651012607,22385.44720504905,-88457.7295680049,2.238809314676811,10.19693094629156,48,71,67.6056338028169,32.054514058977254,-19.427608175472667,4.835648884473727,,1.1300325495188037,657
28,42,0.45,0.1,-0.5,5,55,11,20000,437842.6611010305,417842.6611010305,2089.213305505152,67.82960503184418,1.888879883932974,2.0797644929578314,-42.142792755134806,1.6095185106966983,28.566398488637716,391,331,60,84.65473145780051,2467.1739458179422,-6079.381651012607,22385.44720504905,-88457.7295680049,2.238809314676811,10.19693094629156,48,71,67.6056338028169,32.054514058977254,-19.427608175472667,4.835648884473727,,1.1300325495188037,657
28,42,0.45,0.1,-0.5,5,50,11,20000,437842.6611010305,417842.6611010305,2089.213305505152,67.82960503184418,1.888879883932974,2.0797644929578314,-42.142792755134806,1.6095185106966983,28.566398488637716,391,331,60,84.65473145780051,2467.1739458179422,-6079.381651012607,22385.44720504905,-88457.7295680049,2.238809314676811,10.19693094629156,48,71,67.6056338028169,32.054514058977254,-19.427608175472667,4.835648884473727,,1.1307849461360011,364
28,42,0.45,0.1,-0.5,5,60,11,20000,437842.6611010305,417842.6611010305,2089.213305505152,67.82960503184418,1.888879883932974,2.0797644929578314,-42.142792755134806,1.6095185106966983,28.566398488637716,391,331,60,84.65473145780051,2467.1739458179422,-6079.381651012607,22385.44720504905,-88457.7295680049,2.238809314676811,10.19693094629156,48,71,67.6056338028169,32.054514058977254,-19.427608175472667,4.835648884473727,,1.138041790327345,502
28,42,0.45,0.1,-0.5,5,50,11,20000,437842.6611010305,417842.6611010305,2089.213305505152,67.82960503184418,1.888879883932974,2.0797644929578314,-42.142792755134806,1.6095185106966983,28.566398488637716,391,331,60,84.65473145780051,2467.1739458179422,-6079.381651012607,22385.44720504905,-88457.7295680049,2.238809314676811,10.19693094629156,48,71,67.6056338028169,32.054514058977254,-19.427608175472667,4.835648884473727,,1.1307849461360011,364
28,42,0.45,0.1,-0.5,5,60,11,20000,437842.6611010305,417842.6611010305,2089.213305505152,67.82960503184418,1.888879883932974,2.0797644929578314,-42.142792755134806,1.6095185106966983,28.566398488637716,391,331,60,84.65473145780051,2467.1739458179422,-6079.381651012607,22385.44720504905,-88457.7295680049,2.238809314676811,10.19693094629156,48,71,67.6056338028169,32.054514058977254,-19.427608175472667,4.835648884473727,,1.138041790327345,502
28,42,0.45,0.1,-0.5,5,55,11,20000,437842.6611010305,417842.6611010305,2089.213305505152,67.82960503184418,1.888879883932974,2.0797644929578314,-42.142792755134806,1.6095185106966983,28.566398488637716,391,331,60,84.65473145780051,2467.1739458179422,-6079.381651012607,22385.44720504905,-88457.7295680049,2.238809314676811,10.19693094629156,48,71,67.6056338028169,32.054514058977254,-19.427608175472667,4.835648884473727,,1.1300325495188037,657
28,42,0.45,0.1,-0.5,5,60,11,20000,437842.6611010305,417842.6611010305,2089.213305505152,67.82960503184418,1.888879883932974,2.0797644929578314,-42.142792755134806,1.6095185106966983,28.566398488637716,391,331,60,84.65473145780051,2467.1739458179422,-6079.381651012607,22385.44720504905,-88457.7295680049,2.238809314676811,10.19693094629156,48,71,67.6056338028169,32.054514058977254,-19.427608175472667,4.835648884473727,,1.138041790327345,502
28,42,0.45,0.1,-0.5,5,60,11,20000,437842.6611010305,417842.6611010305,2089.213305505152,67.82960503184418,1.888879883932974,2.0797644929578314,-42.142792755134806,1.6095185106966983,28.566398488637716,391,331,60,84.65473145780051,2467.1739458179422,-6079.381651012607,22385.44720504905,-88457.7295680049,2.238809314676811,10.19693094629156,48,71,67.6056338028169,32.054514058977254,-19.427608175472667,4.835648884473727,,1.138041790327345,502
28,42,0.45,0.1,-0.5,5,55,11,20000,437842.6611010305,417842.6611010305,2089.213305505152,67.82960503184418,1.888879883932974,2.0797644929578314,-42.142792755134806,1.6095185106966983,28.566398488637716,391,331,60,84.65473145780051,2467.1739458179422,-6079.381651012607,22385.44720504905,-88457.7295680049,2.238809314676811,10.19693094629156,48,71,67.6056338028169,32.054514058977254,-19.427608175472667,4.835648884473727,,1.1300325495188037,657
28,42,0.45,0.1,-0.5,5,55,11,20000,437842.6611010305,417842.6611010305,2089.213305505152,67.82960503184418,1.888879883932974,2.0797644929578314,-42.142792755134806,1.6095185106966983,28.566398488637716,391,331,60,84.65473145780051,2467.1739458179422,-6079.381651012607,22385.44720504905,-88457.7295680049,2.238809314676811,10.19693094629156,48,71,67.6056338028169,32.054514058977254,-19.427608175472667,4.835648884473727,,1.1300325495188037,657
28,42,0.45,0.1,-0.5,5,55,11,20000,437842.6611010305,417842.6611010305,2089.213305505152,67.82960503184418,1.888879883932974,2.0797644929578314,-42.142792755134806,1.6095185106966983,28.566398488637716,391,331,60,84.65473145780051,2467.1739458179422,-6079.381651012607,22385.44720504905,-88457.7295680049,2.238809314676811,10.19693094629156,48,71,67.6056338028169,32.054514058977254,-19.427608175472667,4.835648884473727,,1.1300325495188037,657
28,42,0.45,0.1,-0.5,5,45,11,20000,437842.6611010305,417842.6611010305,2089.213305505152,67.82960503184418,1.888879883932974,2.0797644929578314,-42.142792755134806,1.6095185106966983,28.566398488637716,391,331,60,84.65473145780051,2467.1739458179422,-6079.381651012607,22385.44720504905,-88457.7295680049,2.238809314676811,10.19693094629156,48,71,67.6056338028169,32.054514058977254,-19.427608175472667,4.835648884473727,,1.087772679252623,188
28,42,0.45,0.1,-0.5,5,60,11,20000,437842.6611010305,417842.6611010305,2089.213305505152,67.82960503184418,1.888879883932974,2.0797644929578314,-42.142792755134806,1.6095185106966983,28.566398488637716,391,331,60,84.65473145780051,2467.1739458179422,-6079.381651012607,22385.44720504905,-88457.7295680049,2.238809314676811,10.19693094629156,48,71,67.6056338028169,32.054514058977254,-19.427608175472667,4.835648884473727,,1.138041790327345,502
28,42,0.45,0.1,-0.5,5,60,11,20000,437842.6611010305,417842.6611010305,2089.213305505152,67.82960503184418,1.888879883932974,2.0797644929578314,-42.142792755134806,1.6095185106966983,28.566398488637716,391,331,60,84.65473145780051,2467.1739458179422,-6079.381651012607,22385.44720504905,-88457.7295680049,2.238809314676811,10.19693094629156,48,71,67.6056338028169,32.054514058977254,-19.427608175472667,4.835648884473727,,1.138041790327345,502
28,42,0.45,0.1,-0.5,5,55,11,20000,437842.6611010305,417842.6611010305,2089.213305505152,67.82960503184418,1.888879883932974,2.0797644929578314,-42.142792755134806,1.6095185106966983,28.566398488637716,391,331,60,84.65473145780051,2467.1739458179422,-6079.381651012607,22385.44720504905,-88457.7295680049,2.238809314676811,10.19693094629156,48,71,67.6056338028169,32.054514058977254,-19.427608175472667,4.835648884473727,,1.1300325495188037,657
28,42,0.45,0.1,-0.5,5,55,11,20000,437842.6611010305,417842.6611010305,2089.213305505152,67.82960503184418,1.888879883932974,2.0797644929578314,-42.142792755134806,1.6095185106966983,28.566398488637716,391,331,60,84.65473145780051,2467.1739458179422,-6079.381651012607,22385.44720504905,-88457.7295680049,2.238809314676811,10.19693094629156,48,71,67.6056338028169,32.054514058977254,-19.427608175472667,4.835648884473727,,1.1300325495188037,657
28,42,0.45,0.1,-0.5,5,60,11,20000,437842.6611010305,417842.6611010305,2089.213305505152,67.82960503184418,1.888879883932974,2.0797644929578314,-42.142792755134806,1.6095185106966983,28.566398488637716,391,331,60,84.65473145780051,2467.1739458179422,-6079.381651012607,22385.44720504905,-88457.7295680049,2.238809314676811,10.19693094629156,48,71,67.6056338028169,32.054514058977254,-19.427608175472667,4.835648884473727,,1.138041790327345,502
28,42,0.45,0.1,-0.5,5,55,11,20000,437842.6611010305,417842.6611010305,2089.213305505152,67.82960503184418,1.888879883932974,2.0797644929578314,-42.142792755134806,1.6095185106966983,28.566398488637716,391,331,60,84.65473145780051,2467.1739458179422,-6079.381651012607,22385.44720504905,-88457.7295680049,2.238809314676811,10.19693094629156,48,71,67.6056338028169,32.054514058977254,-19.427608175472667,4.835648884473727,,1.1300325495188037,657
28,42,0.45,0.1,-0.5,5,60,11,20000,437842.6611010305,417842.6611010305,2089.213305505152,67.82960503184418,1.888879883932974,2.0797644929578314,-42.142792755134806,1.6095185106966983,28.566398488637716,391,331,60,84.65473145780051,2467.1739458179422,-6079.381651012607,22385.44720504905,-88457.7295680049,2.238809314676811,10.19693094629156,48,71,67.6056338028169,32.054514058977254,-19.427608175472667,4.835648884473727,,1.138041790327345,502
28,42,0.45,0.1,-0.5,5,50,11,20000,437842.6611010305,417842.6611010305,2089.213305505152,67.82960503184418,1.888879883932974,2.0797644929578314,-42.142792755134806,1.6095185106966983,28.566398488637716,391,331,60,84.65473145780051,2467.1739458179422,-6079.381651012607,22385.44720504905,-88457.7295680049,2.238809314676811,10.19693094629156,48,71,67.6056338028169,32.054514058977254,-19.427608175472667,4.835648884473727,,1.1307849461360011,364
28,42,0.45,0.1,-0.5,5,50,11,20000,437842.6611010305,417842.6611010305,2089.213305505152,67.82960503184418,1.888879883932974,2.0797644929578314,-42.142792755134806,1.6095185106966983,28.566398488637716,391,331,60,84.65473145780051,2467.1739458179422,-6079.381651012607,22385.44720504905,-88457.7295680049,2.238809314676811,10.19693094629156,48,71,67.6056338028169,32.054514058977254,-19.427608175472667,4.835648884473727,,1.1307849461360011,364
28,42,0.45,0.1,-0.5,5,60,11,20000,437842.6611010305,417842.6611010305,2089.213305505152,67.82960503184418,1.888879883932974,2.0797644929578314,-42.142792755134806,1.6095185106966983,28.566398488637716,391,331,60,84.65473145780051,2467.1739458179422,-6079.381651012607,22385.44720504905,-88457.7295680049,2.238809314676811,10.19693094629156,48,71,67.6056338028169,32.054514058977254,-19.427608175472667,4.835648884473727,,1.138041790327345,502
28,42,0.45,0.1,-0.5,5,60,11,20000,437842.6611010305,417842.6611010305,2089.213305505152,67.82960503184418,1.888879883932974,2.0797644929578314,-42.142792755134806,1.6095185106966983,28.566398488637716,391,331,60,84.65473145780051,2467.1739458179422,-6079.381651012607,22385.44720504905,-88457.7295680049,2.238809314676811,10.19693094629156,48,71,67.6056338028169,32.054514058977254,-19.427608175472667,4.835648884473727,,1.138041790327345,502
28,42,0.45,0.1,-0.5,5,60,11,20000,437842.6611010305,417842.6611010305,2089.213305505152,67.82960503184418,1.888879883932974,2.0797644929578314,-42.142792755134806,1.6095185106966983,28.566398488637716,391,331,60,84.65473145780051,2467.1739458179422,-6079.381651012607,22385.44720504905,-88457.7295680049,2.238809314676811,10.19693094629156,48,71,67.6056338028169,32.054514058977254,-19.427608175472667,4.835648884473727,,1.138041790327345,502
28,42,0.45,0.1,-0.5,5,60,11,20000,437842.6611010305,417842.6611010305,2089.213305505152,67.82960503184418,1.888879883932974,2.0797644929578314,-42.142792755134806,1.6095185106966983,28.566398488637716,391,331,60,84.65473145780051,2467.1739458179422,-6079.381651012607,22385.44720504905,-88457.7295680049,2.238809314676811,10.19693094629156,48,71,67.6056338028169,32.054514058977254,-19.427608175472667,4.835648884473727,,1.138041790327345,502
28,42,0.45,0.1,-0.5,5,50,11,20000,437842.6611010305,417842.6611010305,2089.213305505152,67.82960503184418,1.888879883932974,2.0797644929578314,-42.142792755134806,1.6095185106966983,28.566398488637716,391,331,60,84.65473145780051,2467.1739458179422,-6079.381651012607,22385.44720504905,-88457.7295680049,2.238809314676811,10.19693094629156,48,71,67.6056338028169,32.054514058977254,-19.427608175472667,4.835648884473727,,1.1307849461360011,364
